"Freq [MHz]","((mag(V_out.v)*mag(I_out.i))/(mag(V_in.v)*mag(I_in.i)))*100 []"
6.0449,11.4327099348546
6.045,11.4365494198617
6.0451,11.4403903555518
6.0452,11.444232742513
6.0453,11.4480765813337
6.0454,11.4519218726028
6.0455,11.4557686169092
6.0456,11.4596168148422
6.0457,11.4634664669911
6.0458,11.4673175739456
6.0459,11.4711701362956
6.046,11.4750241546312
6.0461,11.4788796295429
6.0462,11.4827365616213
6.0463,11.4865949514572
6.0464,11.4904547996416
6.0465,11.4943161067659
6.0466,11.4981788734217
6.0467,11.5020431002007
6.0468,11.5059087876949
6.0469,11.5097759364967
6.047,11.5136445471986
6.0471,11.5175146203932
6.0472,11.5213861566735
6.0473,11.5252591566328
6.0474,11.5291336208644
6.0475,11.5330095499621
6.0476,11.5368869445197
6.0477,11.5407658051315
6.0478,11.5446461323918
6.0479,11.5485279268952
6.048,11.5524111892366
6.0481,11.5562959200111
6.0482,11.560182119814
6.0483,11.5640697892409
6.0484,11.5679589288876
6.0485,11.5718495393502
6.0486,11.5757416212249
6.0487,11.5796351751082
6.0488,11.583530201597
6.0489,11.5874267012881
6.049,11.5913246747789
6.0491,11.5952241226668
6.0492,11.5991250455495
6.0493,11.6030274440249
6.0494,11.6069313186913
6.0495,11.610836670147
6.0496,11.6147434989907
6.0497,11.6186518058214
6.0498,11.622561591238
6.0499,11.6264728558401
6.05,11.6303856002272
6.0501,11.6342998249991
6.0502,11.638215530756
6.0503,11.6421327180982
6.0504,11.6460513876262
6.0505,11.6499715399408
6.0506,11.6538931756431
6.0507,11.6578162953344
6.0508,11.6617408996161
6.0509,11.66566698909
6.051,11.6695945643582
6.0511,11.6735236260227
6.0512,11.6774541746862
6.0513,11.6813862109514
6.0514,11.6853197354211
6.0515,11.6892547486986
6.0516,11.6931912513872
6.0517,11.6971292440907
6.0518,11.701068727413
6.0519,11.7050097019582
6.052,11.7089521683306
6.0521,11.712896127135
6.0522,11.7168415789762
6.0523,11.7207885244593
